Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
2024,51.6346681868229,488.0,17853.41,849.08,17004.329999999998,17971.0,36.82581967,36.58485656,0.2409631100000027,0.65,3,2,0,0,0
1659,135.71637936241245,224.0,30782.05,1464.7,29317.35,32451.0,144.8705357,137.4198661,7.450669599999998,5.14,11,1,0,0,1
1659,117.90690865789054,266.0,195410.09,20934.73,174475.36,258182.0,970.6090226,734.6243985,235.98462410000002,24.31,3,1,0,1,0
2365,84.51070151995651,202.0,16397.0,780.43,15616.57,31083.32,153.8778218,81.17326733,72.70455446999999,47.25,4,3,0,0,0
11524,80.42322113476402,1103.0,45024.71,2143.78,42880.93,45672.0,41.40707162,40.82022665,0.5868449700000014,1.42,2,2,0,0,0
2024,69.04581513289506,28.0,1975.0,301.25,1673.75,2212.0,79.0,70.53571429,8.464285709999999,10.71,11,2,0,0,0
11524,92.12084869514246,5.0,4105.0,195.46,3909.54,4105.0,821.0,821.0,0.0,0.0,9,3,1,0,0
1925,117.90690865789054,109.0,7262.45,345.62,6916.83,12372.3,113.5073394,66.62798165,46.87935775000001,41.3,11,2,0,0,1
11524,67.05379708339964,4089.0,57062.06,0.0,57062.06,57246.0,14.0,13.9550159,0.04498410000000064,0.32,10,2,0,1,0
2365,55.11168383834447,402.0,18424.12,874.33,17549.789999999997,20372.5,50.6778607,45.83114428,4.84671642,9.56,10,2,0,1,0
11524,117.90690865789054,14111.0,630627.81,29924.78,600703.03,694725.86,49.23292892,44.69051166,4.542417260000001,9.23,4,3,0,0,0
2365,43.05498894803222,206.0,5617.34,266.54,5350.8,7210.0,35.0,27.26864078,7.731359220000002,22.09,8,2,0,0,0
4778,117.90690865789054,3217.044,75714.66,0.0,75714.66,77768.42,24.17387515,23.53547542,0.6383997299999997,2.64,12,1,0,0,0
11524,117.90690865789054,92.0,3823.58,181.62,3641.96,4100.0,44.56521739,41.56065217,3.0045652200000035,6.74,6,3,1,0,0
11524,39.132981449687904,442.0,5460.5,257.25,5203.25,6690.0,15.13574661,12.3540724,2.7816742100000003,18.38,5,2,0,0,0
11524,117.90690865789054,1677.0,308841.38,33086.54,275754.84,311042.0,185.4752534,184.1630173,1.312236100000007,0.71,8,2,0,1,0
11524,75.4297214944681,1218.0,139361.74,6628.0,132733.74,142820.08,117.2578654,114.4185057,2.839359700000003,2.42,3,1,0,0,0
11524,117.90690865789054,40.0,2785.83,424.82,2361.0099999999998,3105.0,77.625,69.64575,7.979249999999993,10.28,2,2,0,0,0
11524,96.76714257566466,195.0,9592.91,456.74,9136.17,17283.0,88.63076923,49.19441026,39.43635897,44.5,4,2,1,0,0
1659,73.60368126891598,1149.0,45709.97,4895.93,40814.04,48625.0,42.31940818,39.78239339,2.5370147900000006,5.99,11,2,1,0,0
1138,68.43402212233684,280.0,27227.44,1295.94,25931.5,27935.0,99.76785714,97.24085714,2.527000000000001,2.53,3,2,0,1,0
1659,59.18014202377979,545.0,129258.28,13847.13,115411.15,129827.0,238.2146789,237.171156,1.0435228999999993,0.44,1,2,0,0,0
1925,86.16881158058789,11.0,807.06,38.4,768.66,867.0,78.81818182,73.36909091,5.44909091000001,6.91,4,3,0,1,0
11524,151.42188988696455,673.0,61520.69,2926.5,58594.19,69582.59,103.3916642,91.41261516,11.979049039999992,11.59,1,1,0,0,1
2365,87.70716021437788,134.0,8721.86,414.9,8306.960000000001,9380.0,70.0,65.08850746,4.911492539999998,7.02,4,3,0,0,0
2024,56.96481317179732,1121.0,26231.07,1240.56,24990.51,26764.0,23.87511151,23.39970562,0.4754058900000011,1.99,1,2,0,0,1
2024,83.09240924697805,136.0,10710.14,1633.33,9076.81,10800.0,79.41176471,78.75102941,0.6607352999999989,0.83,11,1,0,0,0
4778,117.90690865789054,0.545,49.05,0.0,49.05,49.05,90.0,90.0,0.0,0.0,9,3,0,1,0
4778,64.28744761628263,163867.16,6031807.51,286981.15,5744826.359999999,6067485.89,37.02685694,36.80912948,0.21772745999999898,0.59,2,1,0,0,0
11524,100.15528919133058,413.0,36517.91,1738.56,34779.350000000006,37075.0,89.76997579,88.42108959,1.3488862000000097,1.5,4,2,0,1,0
944,55.40943616747783,205.0,20383.69,0.0,20383.69,20633.0,100.6487805,99.43263415,1.2161463500000025,1.21,11,2,0,0,0
4778,88.30688792064467,1.928,125.32,0.0,125.32,125.32,65.0,65.0,0.0,0.0,6,2,0,1,0
11524,306.322154595111,842.0,465875.45,22046.16,443829.29000000004,471582.5,560.074228,553.2962589,6.77796909999995,1.21,7,2,0,0,1
4778,58.327168186860646,10763.838,375319.82,17851.92,357467.9,375373.12,34.8735386,34.86858684,0.004951760000004413,0.01,6,2,0,0,0
2365,57.285235239671714,120.0,7077.05,0.0,7077.05,7080.0,59.0,58.97541667,0.024583329999998682,0.04,6,3,0,1,0
11524,55.030880205432894,901.0,47090.97,0.0,47090.97,47615.0,52.84683685,52.26522752,0.5816093299999991,1.1,4,2,0,0,1
1138,53.97538850006551,220.0,13795.49,655.68,13139.81,13796.0,62.70909091,62.70677273,0.002318180000003167,0.0,2,2,0,1,0
2024,70.66261106661283,358.0,7419.45,1130.0,6289.45,12530.0,35.0,20.72472067,14.27527933,40.79,8,2,0,0,0
11524,77.0340901314144,2767.0,223325.1,10618.14,212706.96000000002,224252.0,81.04517528,80.71019154,0.3349837399999984,0.41,5,3,0,1,0
11524,56.20050552156948,263.0,11861.34,564.36,11296.98,11910.0,45.2851711,45.10015209,0.18501900999999776,0.41,1,2,0,0,0
263,53.37410948090233,5.0,150.55,7.17,143.38000000000002,250.0,50.0,30.11,19.89,39.78,3,1,0,1,0
2024,78.69128521129821,274.0,8814.11,419.33,8394.78,9042.0,33.0,32.16828467,0.8317153300000015,2.52,1,2,0,0,0
11524,43.9990582563848,450.0,7112.04,337.74,6774.3,12600.0,28.0,15.80453333,12.19546667,43.56,8,3,0,0,0
1925,70.29185785120882,149.0,8494.22,403.76,8090.459999999999,10809.2,72.54496644,57.00818792,15.536778519999999,21.42,5,2,0,0,1
1925,117.90690865789054,20.0,55.53,2.64,52.89,700.0,35.0,2.7765,32.2235,92.07,5,3,1,0,0
